127.0.0.1, 2016-08-23 11:00:37, GET, /admin/static/_2.14.6/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 304, 0.000944
127.0.0.1, 2016-08-23 11:00:37, GET, /admin/static/_2.14.6/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 304, 0.000729
127.0.0.1, 2016-08-23 11:00:37, GET, /admin/static/_2.14.6/css/bootstrap.min.css, HTTP/1.1, 304, 0.000391
127.0.0.1, 2016-08-23 11:00:37, GET, /admin/static/_2.14.6/css/bootstrap_essentials.css, HTTP/1.1, 304, 0.000389
127.0.0.1, 2016-08-23 11:00:37, GET, /admin/static/_2.14.6/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.000387
127.0.0.1, 2016-08-23 11:00:37, GET, /admin/static/_2.14.6/js/bootstrap.min.js, HTTP/1.1, 304, 0.000395
127.0.0.1, 2016-08-23 11:00:37, GET, /admin/static/_2.14.6/images/help.png, HTTP/1.1, 304, 0.000385
127.0.0.1, 2016-08-23 11:00:39, GET, /MensajeriaMasiva/start/index, HTTP/1.1, 500, 0.035948
127.0.0.1, 2016-08-23 11:00:41, GET, /admin/default/ticket/MensajeriaMasiva/127.0.0.1.2016-08-23.11-00-39.4b2e95df-a0d8-4d56-a2b0-1e79055b384f, HTTP/1.1, 200, 0.095563
127.0.0.1, 2016-08-23 11:01:33, GET, /MensajeriaMasiva/start/index, HTTP/1.1, 500, 0.535154
127.0.0.1, 2016-08-23 11:01:33, GET, /favicon.ico, HTTP/1.1, 400, 0.000300
127.0.0.1, 2016-08-23 11:01:33, GET, /favicon.ico, HTTP/1.1, 400, 0.000298
